ccode,Government,YEAR,Fat_best,Fat_low,Fat_high,Gov actor,Location,GWNOLoc
510,Tanzania,2001,37,37,71,1,Tanzania,510
516,Burundi,1995,1118,740,1149,1,Burundi,516
516,Burundi,1996,1542,1212,8018,1,Burundi,516
516,Burundi,1997,199,199,865,1,Burundi,516
516,Burundi,1998,314,258,492,1,Burundi,516
516,Burundi,1999,225,225,581,1,Burundi,516
516,Burundi,2000,389,359,408,1,Burundi,516
516,Burundi,2002,243,243,340,1,Burundi,516
516,Burundi,2003,129,129,206,1,Burundi,516
516,Burundi,2004,33,33,33,1,Burundi,516
516,Burundi,2005,26,26,26,1,Burundi,516
517,Rwanda,1990,1466,1466,1970,1,Rwanda,517
517,Rwanda,1991,932,932,1432,1,Rwanda,517
517,Rwanda,1992,807,807,869,1,Rwanda,517
517,Rwanda,1993,376,376,376,1,Rwanda,517
517,Rwanda,1994,500000,153256,800000,1,Rwanda,517
517,Rwanda,1995,4141,479,8235,1,Rwanda,517
517,Rwanda,1996,141,141,144,1,Rwanda,517
517,Rwanda,1997,3426,1126,4176,1,Rwanda,517
517,Rwanda,2009,202,200,202,1,"Rwanda, Democratic Republic of Congo (Zaire)","417, 490"
520,Somalia,1989,688,688,5234,1,Somalia,520
530,Ethiopia,1989,900,900,1300,1,Ethiopia,530
530,Ethiopia,1990,158,158,158,1,Ethiopia,530
530,Ethiopia,1991,35,35,35,1,Ethiopia,530
530,Ethiopia,1993,26,26,31,1,Ethiopia,530
530,Ethiopia,2002,35,35,40,1,Ethiopia,530
530,Ethiopia,2003,509,509,509,1,Ethiopia,530
530,Ethiopia,2004,244,244,1252,1,Ethiopia,530
530,Ethiopia,2006,26,26,26,1,Ethiopia,530
530,Ethiopia,2007,153,153,241,1,Ethiopia,530
530,Ethiopia,2008,33,33,127,1,"Ethiopia, Somalia","530, 520"
540,Angola,1997,28,28,105,1,Angola,540
540,Angola,1998,41,41,41,1,Angola,540
540,Angola,2003,59,59,74,1,Angola,540
552,Zimbabwe,2008,39,39,70,1,Zimbabwe,552
560,South Africa,1990,32,32,41,1,South Africa,560
580,Madagascar,2009,31,28,50,1,Madagascar,580
620,Libya,1989,170,0,170,1,Niger ,436
625,Sudan,1989,1000,1000,1150,1,Sudan,625
625,Sudan,1990,263,263,400,1,Sudan,625
625,Sudan,1991,250,250,350,1,Sudan,625
625,Sudan,1992,1558,1358,2928,1,Sudan,625
625,Sudan,1993,298,298,408,1,Sudan,625
625,Sudan,1994,467,467,577,1,Sudan,625
625,Sudan,1995,228,228,332,1,Sudan,625
625,Sudan,1996,27,27,52,1,Sudan,625
625,Sudan,1997,200,200,1157,1,Sudan,625
625,Sudan,1998,238,238,668,1,Sudan,625
625,Sudan,1999,40,40,1010,1,Sudan,625
625,Sudan,2000,279,279,503,1,Sudan,625
625,Sudan,2001,42,42,42,1,Sudan,625
625,Sudan,2002,55,55,55,1,Sudan,625
625,Sudan,2003,1776,1776,12470,1,Sudan,625
625,Sudan,2004,2593,2429,15408,1,Sudan,625
625,Sudan,2005,403,303,707,1,Sudan,625
625,Sudan,2006,252,252,362,1,Sudan,625
625,Sudan,2007,88,88,134,1,Sudan,625
625,Sudan,2008,186,186,357,1,Sudan,625
645,Iraq,1990,291,291,2737,1,"Iraq, Kuwait","645, 690"
645,Iraq,1991,858,858,1602,1,"Iraq, Kuwait","645, 690"
645,Iraq,1992,159,159,253,1,"Iraq, Jordan","645, 663"
645,Iraq,1993,133,103,173,1,Iraq,645
645,Iraq,1994,45,45,62,1,"Iraq, Lebanon","645, 660"
645,Iraq,1995,100,100,220,1,Iraq,645
645,Iraq,1996,109,109,330,1,Iraq,645
645,Iraq,1999,33,33,650,1,Iraq,645
645,Iraq,2005,72,72,134,1,Iraq,645
645,Iraq,2006,171,25,215,1,Iraq,645
645,Iraq,2007,63,57,109,1,Iraq,645
651,Egypt,2005,36,36,36,1,Egypt,651
666,Israel,1989,65,65,69,1,Israel,666
666,Israel,1996,102,102,105,1,"Lebanon, Israel","660, 666"
666,Israel,2001,37,37,63,1,Israel,666
666,Israel,2002,45,41,54,1,Israel,666
666,Israel,2003,38,38,58,1,Israel,666
666,Israel,2004,31,31,75,1,Israel,666
666,Israel,2005,27,26,39,1,Israel,666
666,Israel,2006,182,182,221,1,"Lebanon, Israel","660, 666"
700,Afghanistan,1997,83,70,83,1,Afghanistan,700
700,Afghanistan,1998,5799,3129,8249,1,Afghanistan,700
700,Afghanistan,1999,465,465,2510,1,Afghanistan,700
700,Afghanistan,2000,107,107,107,1,Afghanistan,700
700,Afghanistan,2001,142,142,1003,1,Afghanistan,700
702,Tajikistan,1992,34,34,34,1,Tajikistan,702
710,China,1989,2600,931,3138,1,China,710
710,China,2008,51,51,151,1,China,710
750,India,1990,32,32,267,1,India,750
750,India,1993,56,56,100,1,India,750
750,India,2002,46,46,114,1,India,750
750,India,2004,34,34,35,1,India,750
750,India,2006,25,25,61,1,India,750
750,India,2007,33,24,148,1,India,750
775,Myanmar,1992,78,78,869,1,Myanmar,775
775,Myanmar,1996,108,108,109,1,Myanmar,775
775,Myanmar,1997,669,669,671,1,"Myanmar, Thailand","775, 800"
775,Myanmar,1998,140,140,992,1,"Myanmar, Thailand","775, 800"
775,Myanmar,2000,82,82,158,1,Myanmar,775
775,Myanmar,2002,64,43,78,1,Myanmar,775
775,Myanmar,2003,72,72,77,1,Myanmar,775
775,Myanmar,2005,132,123,133,1,Myanmar,775
775,Myanmar,2006,211,209,344,1,Myanmar,775
775,Myanmar,2007,205,200,405,1,Myanmar,775
775,Myanmar,2010,27,26,33,1,Myanmar,775
780,Sri Lanka,1989,38,21,374,1,Sri Lanka,780
780,Sri Lanka,1990,188,188,355,1,Sri Lanka,780
780,Sri Lanka,1991,67,67,150,1,Sri Lanka,780
780,Sri Lanka,1992,35,35,35,1,Sri Lanka,780
780,Sri Lanka,1996,29,29,689,1,Sri Lanka,780
780,Sri Lanka,2006,28,28,63,1,Sri Lanka,780
790,Nepal,1996,27,27,29,1,Nepal,790
790,Nepal,1998,106,106,106,1,Nepal,790
790,Nepal,1999,89,89,89,1,Nepal,790
790,Nepal,2000,58,58,58,1,Nepal,790
790,Nepal,2001,74,74,76,1,Nepal,790
790,Nepal,2002,274,274,278,1,Nepal,790
790,Nepal,2003,197,197,269,1,Nepal,790
790,Nepal,2004,176,176,251,1,Nepal,790
790,Nepal,2005,108,108,136,1,Nepal,790
790,Nepal,2006,47,46,51,1,Nepal,790
800,Thailand,1992,44,44,84,1,Thailand,800
800,Thailand,2003,76,30,2083,1,Thailand,800
800,Thailand,2004,116,38,205,1,Thailand,800
812,Laos,2006,73,73,73,1,Laos,812
850,Indonesia,1991,283,83,798,1,Indonesia,850
850,Indonesia,1992,40,40,47,1,Indonesia,850
850,Indonesia,1995,46,46,98,1,Indonesia,850
850,Indonesia,1997,28,28,32,1,Indonesia,850
850,Indonesia,1998,53,53,139,1,Indonesia,850
850,Indonesia,1999,894,842,1775,1,Indonesia,850
850,Indonesia,2000,35,35,137,1,Indonesia,850
850,Indonesia,2001,36,36,124,1,Indonesia,850
850,Indonesia,2002,50,50,651,1,Indonesia,850
850,Indonesia,2003,235,235,310,1,Indonesia,850
910,Papua New Guinea,1996,33,33,33,1,Papua New Guinea,910
