ccode,Government,YEAR,Fat_best,Fat_low,Fat_high,Gov actor,Location,GWNOLoc
475,Government of Nigeria,2011,32,31,98,1,Nigeria,475
482,Government of Central African Republic,2001,25,25,60,1,"Central African Republic, Chad","482, 483"
482,Government of Central African Republic,2006,119,119,145,1,Central African Republic,482
482,Government of Central African Republic,2007,29,25,37,1,Central African Republic,482
483,Government of Chad,1990,41,41,441,1,Chad,483
483,Government of Chad,1991,27,27,32,1,Chad,483
483,Government of Chad,1992,298,198,341,1,Chad,483
483,Government of Chad,1993,193,193,247,1,Chad,483
483,Government of Chad,1994,230,230,230,1,Chad,483
483,Government of Chad,1995,47,47,48,1,Chad,483
483,Government of Chad,1998,145,145,145,1,Chad,483
484,Government of Congo,1993,82,82,82,1,"Congo, Republic of (Brazzaville)",484
484,Government of Congo,1997,371,371,1171,1,"Congo, Republic of (Brazzaville)",484
484,Government of Congo,1998,431,431,1560,1,"Congo, Republic of (Brazzaville)",484
484,Government of Congo,1999,326,326,327,1,"Congo, Republic of (Brazzaville)",484
490,Government of DR Congo (Zaire),1989,28,28,28,1,DR Congo (Zaire),490
490,Government of DR Congo (Zaire),1990,147,18,147,1,DR Congo (Zaire),490
490,Government of DR Congo (Zaire),1991,33,33,210,1,DR Congo (Zaire),490
490,Government of DR Congo (Zaire),1992,64,47,91,1,DR Congo (Zaire),490
490,Government of DR Congo (Zaire),1993,86,18,347,1,DR Congo (Zaire),490
490,Government of DR Congo (Zaire),1995,58,49,81,1,DR Congo (Zaire),490
490,Government of DR Congo (Zaire),1996,1353,1253,1746,1,DR Congo (Zaire),490
490,Government of DR Congo (Zaire),1997,4160,4160,5083,1,DR Congo (Zaire),490
490,Government of DR Congo (Zaire),1998,1591,1291,1666,1,DR Congo (Zaire),490
490,Government of DR Congo (Zaire),1999,619,619,632,1,DR Congo (Zaire),490
490,Government of DR Congo (Zaire),2000,82,82,82,1,DR Congo (Zaire),490
490,Government of DR Congo (Zaire),2002,189,189,189,1,DR Congo (Zaire),490
490,Government of DR Congo (Zaire),2004,100,100,100,1,DR Congo (Zaire),490
490,Government of DR Congo (Zaire),2006,153,153,161,1,DR Congo (Zaire),490
490,Government of DR Congo (Zaire),2007,92,81,98,1,DR Congo (Zaire),490
490,Government of DR Congo (Zaire),2008,49,49,59,1,DR Congo (Zaire),490
490,Government of DR Congo (Zaire),2009,887,887,1095,1,DR Congo (Zaire),490
500,Government of Uganda,1990,80,80,80,1,Uganda,500
500,Government of Uganda,1991,59,59,59,1,Uganda,500
501,Government of Kenya,2007,41,41,49,1,Kenya,501
501,Government of Kenya,2008,220,195,254,1,Kenya,501
510,Government of Tanzania,2001,37,37,71,1,Tanzania,510
516,Government of Burundi,1995,1118,740,1149,1,Burundi,516
516,Government of Burundi,1996,1542,1212,8018,1,Burundi,516
516,Government of Burundi,1997,199,199,865,1,Burundi,516
516,Government of Burundi,1998,314,258,492,1,Burundi,516
516,Government of Burundi,1999,225,225,581,1,Burundi,516
516,Government of Burundi,2000,389,359,408,1,Burundi,516
516,Government of Burundi,2002,243,243,340,1,Burundi,516
516,Government of Burundi,2003,129,129,206,1,Burundi,516
516,Government of Burundi,2004,33,33,33,1,Burundi,516
516,Government of Burundi,2005,26,26,26,1,Burundi,516
517,Government of Rwanda,1990,1466,1466,1970,1,Rwanda,517
517,Government of Rwanda,1991,932,932,1432,1,Rwanda,517
517,Government of Rwanda,1992,807,807,869,1,Rwanda,517
517,Government of Rwanda,1993,376,376,376,1,Rwanda,517
517,Government of Rwanda,1994,500000,153256,800000,1,Rwanda,517
517,Government of Rwanda,1995,4141,2141,8235,1,Rwanda,517
517,Government of Rwanda,1996,141,141,144,1,Rwanda,517
517,Government of Rwanda,1997,3426,1126,4176,1,Rwanda,517
517,Government of Rwanda,2009,202,200,202,1,"Rwanda, DR Congo (Zaire)","417, 490"
520,Government of Somalia,1989,688,688,5234,1,Somalia,520
520,Government of Somalia,2011,36,35,53,1,Somalia,520
520,Government of Somalia,1991,450,400,455,1,Somalia,520
530,Government of Ethiopia,1989,900,900,1300,1,Ethiopia,530
530,Government of Ethiopia,1990,158,158,158,1,Ethiopia,530
530,Government of Ethiopia,1991,35,35,35,1,Ethiopia,530
530,Government of Ethiopia,1993,26,26,31,1,Ethiopia,530
530,Government of Ethiopia,2002,35,35,40,1,Ethiopia,530
530,Government of Ethiopia,2003,509,509,509,1,Ethiopia,530
530,Government of Ethiopia,2004,244,244,1252,1,Ethiopia,530
530,Government of Ethiopia,2006,26,26,26,1,Ethiopia,530
530,Government of Ethiopia,2007,162,162,250,1,"Ethiopia, Somalia","530, 520"
530,Government of Ethiopia,2008,33,33,57,1,"Ethiopia, Somalia","530, 520"
540,Government of Angola,1997,28,28,105,1,Angola,540
540,Government of Angola,1998,41,41,41,1,Angola,540
540,Government of Angola,2003,59,59,74,1,Angola,540
552,Government of Zimbabwe,2008,253,253,317,1,Zimbabwe,552
560,Government of South Africa,1989,56,56,387,1,"South Africa, Namibia, Swaziland","560, 565, 572"
560,Government of South Africa,1990,196,196,219,1,"South Africa, Botswana","560, 571"
560,Government of South Africa,1991,49,49,62,1,South Africa,560
560,Government of South Africa,1992,61,61,74,1,South Africa,560
560,Government of South Africa,1993,67,67,94,1,South Africa,560
580,Government of Madagascar,2009,31,28,50,1,Madagascar,580
620,Government of Libya,1989,170,0,170,1,Niger ,436
620,Government of Libya,2011,152,152,168,1,Libya,620
625,Government of Sudan,1989,1000,1000,1150,1,Sudan,625
625,Government of Sudan,1990,263,263,400,1,Sudan,625
625,Government of Sudan,1991,250,250,350,1,Sudan,625
625,Government of Sudan,1992,1558,1358,2928,1,Sudan,625
625,Government of Sudan,1993,298,298,408,1,Sudan,625
625,Government of Sudan,1994,467,467,577,1,Sudan,625
625,Government of Sudan,1995,228,228,332,1,Sudan,625
625,Government of Sudan,1996,27,27,52,1,Sudan,625
625,Government of Sudan,1997,200,200,1157,1,Sudan,625
625,Government of Sudan,1998,238,238,668,1,Sudan,625
625,Government of Sudan,1999,40,40,1010,1,Sudan,625
625,Government of Sudan,2000,279,279,503,1,Sudan,625
625,Government of Sudan,2001,42,42,42,1,Sudan,625
625,Government of Sudan,2002,55,55,55,1,Sudan,625
625,Government of Sudan,2003,1776,1776,12470,1,Sudan,625
625,Government of Sudan,2004,2593,2429,15408,1,Sudan,625
625,Government of Sudan,2005,403,303,707,1,Sudan,625
625,Government of Sudan,2006,252,252,362,1,Sudan,625
625,Government of Sudan,2007,88,88,134,1,Sudan,625
625,Government of Sudan,2008,186,186,357,1,Sudan,625
625,Government of Sudan,2011,174,174,387,1,Sudan,625
645,Government of Iraq,1990,291,291,2737,1,"Iraq, Kuwait","645, 690"
645,Government of Iraq,1991,858,858,1602,1,"Iraq, Kuwait","645, 690"
645,Government of Iraq,1992,159,159,253,1,"Iraq, Jordan","645, 663"
645,Government of Iraq,1993,133,103,173,1,Iraq,645
645,Government of Iraq,1994,45,45,62,1,"Iraq, Lebanon","645, 660"
645,Government of Iraq,1995,100,100,220,1,Iraq,645
645,Government of Iraq,1996,109,109,330,1,Iraq,645
645,Government of Iraq,1999,33,33,650,1,Iraq,645
645,Government of Iraq,2005,72,72,134,1,Iraq,645
645,Government of Iraq,2006,171,25,215,1,Iraq,645
645,Government of Iraq,2007,63,57,109,1,Iraq,645
651,Government of Egypt,2005,36,36,36,1,Egypt,651
652,Government of Syria,2011,2924,2823,3317,1,Syria,652
666,Government of Israel,1989,65,65,69,1,Israel,666
666,Government of Israel,1996,102,102,105,1,"Lebanon, Israel","660, 666"
666,Government of Israel,2001,37,37,63,1,Israel,666
666,Government of Israel,2002,45,41,54,1,Israel,666
666,Government of Israel,2003,38,38,58,1,Israel,666
666,Government of Israel,2004,31,31,75,1,Israel,666
666,Government of Israel,2005,27,26,39,1,Israel,666
666,Government of Israel,2006,182,182,221,1,"Lebanon, Israel","660, 666"
678,Government of Yemen,2011,142,142,190,1,Yemen,678
692,Government of Bahrain,2011,26,26,30,1,Bahrain,692
700,Government of Afghanistan,1997,83,70,83,1,Afghanistan,700
700,Government of Afghanistan,1998,5799,3129,8249,1,Afghanistan,700
700,Government of Afghanistan,1999,465,465,2510,1,Afghanistan,700
700,Government of Afghanistan,2000,107,107,107,1,Afghanistan,700
700,Government of Afghanistan,2001,142,142,1003,1,Afghanistan,700
702,Government of Tajikistan,1992,34,34,34,1,Tajikistan,702
710,Government of China,1989,2600,931,3138,1,China,710
710,Government of China,2008,51,51,151,1,China,710
750,Government of India,1990,32,32,267,1,India,750
750,Government of India,1993,56,56,100,1,India,750
750,Government of India,2002,46,46,114,1,India,750
750,Government of India,2004,34,34,35,1,India,750
750,Government of India,2006,25,25,61,1,India,750
750,Government of India,2007,33,24,148,1,India,750
775,Government of Myanmar (Burma),1992,78,78,869,1,Myanmar (Burma),775
775,Government of Myanmar (Burma),1996,108,108,109,1,Myanmar (Burma),775
775,Government of Myanmar (Burma),1997,669,669,671,1,"Myanmar (Burma), Thailand","775, 800"
775,Government of Myanmar (Burma),1998,140,140,992,1,"Myanmar (Burma), Thailand","775, 800"
775,Government of Myanmar (Burma),2000,82,82,158,1,Myanmar (Burma),775
775,Government of Myanmar (Burma),2002,64,43,78,1,Myanmar (Burma),775
775,Government of Myanmar (Burma),2003,72,72,77,1,Myanmar (Burma),775
775,Government of Myanmar (Burma),2005,132,123,133,1,Myanmar (Burma),775
775,Government of Myanmar (Burma),2006,211,209,344,1,Myanmar (Burma),775
775,Government of Myanmar (Burma),2007,205,200,405,1,Myanmar (Burma),775
775,Government of Myanmar (Burma),2010,27,26,33,1,Myanmar (Burma),775
775,Government of Myanmar (Burma),2011,107,107,111,1,Myanmar (Burma),775
780,Government of Sri Lanka,1989,38,21,374,1,Sri Lanka,780
780,Government of Sri Lanka,1990,188,188,355,1,Sri Lanka,780
780,Government of Sri Lanka,1991,67,67,150,1,Sri Lanka,780
780,Government of Sri Lanka,1992,35,35,35,1,Sri Lanka,780
780,Government of Sri Lanka,1996,29,29,689,1,Sri Lanka,780
780,Government of Sri Lanka,2006,28,28,63,1,Sri Lanka,780
790,Government of Nepal,1996,27,27,29,1,Nepal,790
790,Government of Nepal,1998,106,106,106,1,Nepal,790
790,Government of Nepal,1999,89,89,89,1,Nepal,790
790,Government of Nepal,2000,58,58,58,1,Nepal,790
790,Government of Nepal,2001,74,74,76,1,Nepal,790
790,Government of Nepal,2002,274,274,278,1,Nepal,790
790,Government of Nepal,2003,197,197,269,1,Nepal,790
790,Government of Nepal,2004,176,176,251,1,Nepal,790
790,Government of Nepal,2005,108,108,136,1,Nepal,790
790,Government of Nepal,2006,47,46,51,1,Nepal,790
800,Government of Thailand,1992,44,44,84,1,Thailand,800
800,Government of Thailand,2004,116,38,205,1,Thailand,800
812,Government of Laos,2006,73,73,73,1,Laos,812
816,Government of Vietnam,2011,72,72,72,1,Vietnam,816
850,Government of Indonesia,1991,283,83,798,1,Indonesia,850
850,Government of Indonesia,1992,40,40,47,1,Indonesia,850
850,Government of Indonesia,1995,46,46,98,1,Indonesia,850
850,Government of Indonesia,1997,28,28,32,1,Indonesia,850
850,Government of Indonesia,1998,53,53,139,1,Indonesia,850
850,Government of Indonesia,1999,894,842,1775,1,Indonesia,850
850,Government of Indonesia,2000,35,35,137,1,Indonesia,850
850,Government of Indonesia,2001,36,36,124,1,Indonesia,850
850,Government of Indonesia,2002,50,50,651,1,Indonesia,850
850,Government of Indonesia,2003,235,235,310,1,Indonesia,850
910,Government of Papua New Guinea,1996,33,33,33,1,Papua New Guinea,910
