cowccode,iso3numeric,iso3alpha,year,LoT,RstrctAccess
220,250,FRA,1995,Several,No
220,250,FRA,1996,Several,No
220,250,FRA,1997,Systematic,No
220,250,FRA,1998,Several,No
220,250,FRA,1999,Several,No
220,250,FRA,2000,Widespread,No
220,250,FRA,2001,No Allegations,No
220,250,FRA,2002,Several,No
220,250,FRA,2003,Systematic,No
220,250,FRA,2004,Routinely,No
220,250,FRA,2005,Infrequent,No
225,756,CHE,1995,No Allegations,No
225,756,CHE,1996,Several,No
225,756,CHE,1997,Routinely,No
225,756,CHE,1998,Several,No
225,756,CHE,1999,Several,No
225,756,CHE,2000,Routinely,No
225,756,CHE,2001,Routinely,No
225,756,CHE,2002,Routinely,No
225,756,CHE,2003,Routinely,No
225,756,CHE,2004,Several,No
225,756,CHE,2005,No Allegations,No
230,724,ESP,1995,No Allegations,No
230,724,ESP,1996,Systematic,No
230,724,ESP,1997,Systematic,No
230,724,ESP,1998,Systematic,No
230,724,ESP,1999,Several,No
230,724,ESP,2000,Routinely,No
230,724,ESP,2001,Widespread,No
230,724,ESP,2002,Widespread,No
230,724,ESP,2003,No Allegations,No
230,724,ESP,2004,Systematic,No
230,724,ESP,2005,Systematic,No
235,620,PRT,1995,Routinely,No
235,620,PRT,1996,Routinely,No
235,620,PRT,1997,No Allegations,No
235,620,PRT,1998,Widespread,No
235,620,PRT,1999,Systematic,No
235,620,PRT,2000,Systematic,No
235,620,PRT,2001,Systematic,No
235,620,PRT,2002,Systematic,No
235,620,PRT,2003,Systematic,No
235,620,PRT,2004,Widespread,No
235,620,PRT,2005,No Allegations,No
255,276,DEU,1995,Systematic,No
255,276,DEU,1996,Systematic,No
255,276,DEU,1997,Systematic,No
255,276,DEU,1998,Routinely,No
255,276,DEU,1999,Several,No
255,276,DEU,2000,Routinely,No
255,276,DEU,2001,Several,No
255,276,DEU,2002,"Allegation, No LoT",No
255,276,DEU,2003,Several,No
255,276,DEU,2004,Systematic,No
255,276,DEU,2005,No Allegations,No
290,616,POL,1995,Several,No
290,616,POL,1996,No Allegations,No
290,616,POL,1997,No Allegations,No
290,616,POL,1998,No Allegations,No
290,616,POL,1999,No Allegations,No
290,616,POL,2000,Systematic,No
290,616,POL,2001,No Allegations,No
290,616,POL,2002,No Allegations,No
290,616,POL,2003,Several,No
290,616,POL,2004,"Allegation, No LoT",No
290,616,POL,2005,No Allegations,No
305,40,AUT,1995,No Allegations,Yes
305,40,AUT,1996,Routinely,No
305,40,AUT,1997,No Allegations,No
305,40,AUT,1998,No Allegations,No
305,40,AUT,1999,No Allegations,No
305,40,AUT,2000,Routinely,No
305,40,AUT,2001,Several,No
305,40,AUT,2002,No Allegations,No
305,40,AUT,2003,No Allegations,No
305,40,AUT,2004,No Allegations,No
305,40,AUT,2005,No Allegations,No
310,348,HUN,1995,Systematic,No
310,348,HUN,1996,Several,No
310,348,HUN,1997,"Allegation, No LoT",No
310,348,HUN,1998,Routinely,No
310,348,HUN,1999,"Allegation, No LoT",Yes
310,348,HUN,2000,Several,No
310,348,HUN,2001,"Allegation, No LoT",No
310,348,HUN,2002,Routinely,No
310,348,HUN,2003,Routinely,No
310,348,HUN,2004,Routinely,No
310,348,HUN,2005,No Allegations,No
316,203,CZE,1995,No Allegations,No
316,203,CZE,1996,No Allegations,No
316,203,CZE,1997,No Allegations,No
316,203,CZE,1998,No Allegations,No
316,203,CZE,1999,No Allegations,No
316,203,CZE,2000,No Allegations,No
316,203,CZE,2001,No Allegations,No
316,203,CZE,2002,No Allegations,No
316,203,CZE,2003,Several,No
316,203,CZE,2004,Several,No
316,203,CZE,2005,Several,No
325,380,ITA,1995,Routinely,No
325,380,ITA,1996,Routinely,No
325,380,ITA,1997,Routinely,No
325,380,ITA,1998,"Allegation, No LoT",No
325,380,ITA,1999,Routinely,No
325,380,ITA,2000,Widespread,No
325,380,ITA,2001,Widespread,No
325,380,ITA,2002,Several,No
325,380,ITA,2003,Widespread,No
325,380,ITA,2004,Systematic,No
325,380,ITA,2005,Systematic,Yes
339,8,ALB,1995,Routinely,No
339,8,ALB,1996,Routinely,No
339,8,ALB,1997,Routinely,No
339,8,ALB,1998,Several,No
339,8,ALB,1999,No Allegations,No
339,8,ALB,2000,Widespread,No
339,8,ALB,2001,Widespread,No
339,8,ALB,2002,Widespread,No
339,8,ALB,2003,Systematic,No
339,8,ALB,2004,Routinely,No
339,8,ALB,2005,Systematic,No
340,688,SRB,1995,Widespread,No
340,688,SRB,1996,Widespread,No
340,688,SRB,1997,Systematic,No
340,688,SRB,1998,Systematic,Yes
340,688,SRB,1999,Systematic,Yes
340,688,SRB,2000,Widespread,No
340,688,SRB,2001,Routinely,No
340,688,SRB,2002,Widespread,No
340,688,SRB,2003,Systematic,No
340,688,SRB,2004,Widespread,No
340,688,SRB,2005,Widespread,No
343,807,MKD,1995,Routinely,No
343,807,MKD,1996,Routinely,No
343,807,MKD,1997,Routinely,No
343,807,MKD,1998,Routinely,No
343,807,MKD,1999,Routinely,No
343,807,MKD,2000,Routinely,No
343,807,MKD,2001,Widespread,No
343,807,MKD,2002,Widespread,No
343,807,MKD,2003,Several,No
343,807,MKD,2004,Several,No
343,807,MKD,2005,Infrequent,No
344,191,HRV,1995,Systematic,No
344,191,HRV,1996,Several,No
344,191,HRV,1997,"Allegation, No LoT",No
344,191,HRV,1998,Routinely,No
344,191,HRV,1999,Routinely,No
344,191,HRV,2000,Routinely,No
344,191,HRV,2001,No Allegations,No
344,191,HRV,2002,No Allegations,No
344,191,HRV,2003,No Allegations,No
344,191,HRV,2004,"Allegation, No LoT",No
344,191,HRV,2005,No Allegations,No
346,70,BIH,1995,-999,No
346,70,BIH,1996,-999,No
346,70,BIH,1997,-999,No
346,70,BIH,1998,-999,No
346,70,BIH,1999,-999,No
346,70,BIH,2000,-999,No
346,70,BIH,2001,No Allegations,No
346,70,BIH,2002,Widespread,No
346,70,BIH,2003,Systematic,No
346,70,BIH,2004,No Allegations,No
346,70,BIH,2005,No Allegations,No
349,705,SVK,1995,Systematic,No
349,705,SVK,1996,Routinely,No
349,705,SVK,1997,Routinely,No
349,705,SVK,1998,Routinely,No
349,705,SVK,1999,Routinely,No
349,705,SVK,2000,Routinely,No
349,705,SVK,2001,Several,No
349,705,SVK,2002,No Allegations,No
349,705,SVK,2003,No Allegations,No
349,705,SVK,2004,Several,No
349,705,SVK,2005,No Allegations,No
350,300,GRC,1995,Routinely,No
350,300,GRC,1996,No Allegations,No
350,300,GRC,1997,No Allegations,No
350,300,GRC,1998,No Allegations,No
350,300,GRC,1999,No Allegations,No
350,300,GRC,2000,No Allegations,No
350,300,GRC,2001,Several,No
350,300,GRC,2002,Widespread,No
350,300,GRC,2003,No Allegations,No
350,300,GRC,2004,No Allegations,No
350,300,GRC,2005,No Allegations,No
355,100,BGR,1995,Systematic,No
355,100,BGR,1996,Several,No
355,100,BGR,1997,Several,No
355,100,BGR,1998,No Allegations,No
355,100,BGR,1999,Systematic,No
355,100,BGR,2000,Systematic,No
355,100,BGR,2001,Systematic,No
355,100,BGR,2002,No Allegations,No
355,100,BGR,2003,Several,No
355,100,BGR,2004,Several,No
355,100,BGR,2005,No Allegations,No
359,498,MDA,1995,No Allegations,No
359,498,MDA,1996,No Allegations,No
359,498,MDA,1997,No Allegations,Yes
359,498,MDA,1998,No Allegations,No
359,498,MDA,1999,No Allegations,No
359,498,MDA,2000,Widespread,No
359,498,MDA,2001,Several,No
359,498,MDA,2002,Several,No
359,498,MDA,2003,Systematic,No
359,498,MDA,2004,Widespread,No
359,498,MDA,2005,Widespread,No
360,642,ROU,1995,Systematic,No
360,642,ROU,1996,Widespread,No
360,642,ROU,1997,Widespread,No
360,642,ROU,1998,Systematic,No
360,642,ROU,1999,Several,No
360,642,ROU,2000,Widespread,No
360,642,ROU,2001,Widespread,No
360,642,ROU,2002,Several,No
360,642,ROU,2003,Several,No
360,642,ROU,2004,Systematic,No
360,642,ROU,2005,Widespread,No
365,643,RUS,1995,Widespread,Yes
365,643,RUS,1996,Systematic,No
365,643,RUS,1997,Systematic,No
365,643,RUS,1998,Systematic,No
365,643,RUS,1999,Systematic,No
365,643,RUS,2000,Systematic,No
365,643,RUS,2001,Systematic,No
365,643,RUS,2002,Systematic,No
365,643,RUS,2003,Systematic,No
365,643,RUS,2004,Systematic,No
365,643,RUS,2005,Systematic,No
366,233,EST,1995,No Allegations,No
366,233,EST,1996,No Allegations,No
366,233,EST,1997,No Allegations,No
366,233,EST,1998,No Allegations,No
366,233,EST,1999,No Allegations,No
366,233,EST,2000,No Allegations,No
366,233,EST,2001,No Allegations,No
366,233,EST,2002,Infrequent,No
366,233,EST,2003,Several,No
366,233,EST,2004,No Allegations,No
366,233,EST,2005,No Allegations,No
367,428,LVA,1995,No Allegations,No
367,428,LVA,1996,No Allegations,No
367,428,LVA,1997,No Allegations,No
367,428,LVA,1998,No Allegations,No
367,428,LVA,1999,Routinely,No
367,428,LVA,2000,"Allegation, No LoT",No
367,428,LVA,2001,Several,No
367,428,LVA,2002,Routinely,No
367,428,LVA,2003,"Allegation, No LoT",No
367,428,LVA,2004,No Allegations,No
367,428,LVA,2005,Several,No
368,440,LTU,1995,No Allegations,No
368,440,LTU,1996,No Allegations,No
368,440,LTU,1997,No Allegations,No
368,440,LTU,1998,No Allegations,No
368,440,LTU,1999,No Allegations,No
368,440,LTU,2000,Routinely,No
368,440,LTU,2001,Routinely,No
368,440,LTU,2002,No Allegations,No
368,440,LTU,2003,Infrequent,No
368,440,LTU,2004,No Allegations,No
368,440,LTU,2005,No Allegations,No
369,804,UKR,1995,No Allegations,No
369,804,UKR,1996,No Allegations,No
369,804,UKR,1997,Several,No
369,804,UKR,1998,Several,No
369,804,UKR,1999,Several,No
369,804,UKR,2000,Routinely,No
369,804,UKR,2001,Widespread,No
369,804,UKR,2002,Widespread,No
369,804,UKR,2003,Widespread,No
369,804,UKR,2004,Widespread,No
369,804,UKR,2005,Systematic,No
370,112,BLR,1995,Several,No
370,112,BLR,1996,Routinely,No
370,112,BLR,1997,Widespread,No
370,112,BLR,1998,Routinely,No
370,112,BLR,1999,Several,No
370,112,BLR,2000,Widespread,No
370,112,BLR,2001,Routinely,No
370,112,BLR,2002,Routinely,No
370,112,BLR,2003,"Allegation, No LoT",No
370,112,BLR,2004,Routinely,No
370,112,BLR,2005,Infrequent,No
371,51,ARM,1995,Continued,No
371,51,ARM,1996,Several,No
371,51,ARM,1997,"Allegation, No LoT",No
371,51,ARM,1998,Systematic,No
371,51,ARM,1999,Several,No
371,51,ARM,2000,Widespread,No
371,51,ARM,2001,Widespread,No
371,51,ARM,2002,Routinely,No
371,51,ARM,2003,No Allegations,No
371,51,ARM,2004,No Allegations,No
371,51,ARM,2005,No Allegations,No
372,268,GEO,1995,Several,No
372,268,GEO,1996,Widespread,No
372,268,GEO,1997,Systematic,No
372,268,GEO,1998,Systematic,No
372,268,GEO,1999,Routinely,No
372,268,GEO,2000,Routinely,No
372,268,GEO,2001,Widespread,No
372,268,GEO,2002,Widespread,No
372,268,GEO,2003,Widespread,No
372,268,GEO,2004,Widespread,No
372,268,GEO,2005,Widespread,No
373,31,AZE,1995,"Allegation, No LoT",No
373,31,AZE,1996,Several,No
373,31,AZE,1997,Several,No
373,31,AZE,1998,Widespread,No
373,31,AZE,1999,Widespread,No
373,31,AZE,2000,Widespread,No
373,31,AZE,2001,Systematic,No
373,31,AZE,2002,Systematic,No
373,31,AZE,2003,No Allegations,No
373,31,AZE,2004,No Allegations,No
373,31,AZE,2005,Systematic,No
375,246,FIN,1995,No Allegations,No
375,246,FIN,1996,No Allegations,No
375,246,FIN,1997,No Allegations,No
375,246,FIN,1998,No Allegations,No
375,246,FIN,1999,No Allegations,No
375,246,FIN,2000,No Allegations,No
375,246,FIN,2001,No Allegations,No
375,246,FIN,2002,No Allegations,No
375,246,FIN,2003,No Allegations,No
375,246,FIN,2004,No Allegations,No
375,246,FIN,2005,No Allegations,No
380,752,SWE,1995,Routinely,No
380,752,SWE,1996,No Allegations,No
380,752,SWE,1997,Infrequent,No
380,752,SWE,1998,No Allegations,No
380,752,SWE,1999,No Allegations,No
380,752,SWE,2000,No Allegations,No
380,752,SWE,2001,Several,No
380,752,SWE,2002,Several,No
380,752,SWE,2003,Several,No
380,752,SWE,2004,No Allegations,No
380,752,SWE,2005,No Allegations,No
385,578,NOR,1995,No Allegations,No
385,578,NOR,1996,"Allegation, No LoT",No
385,578,NOR,1997,No Allegations,No
385,578,NOR,1998,No Allegations,No
385,578,NOR,1999,No Allegations,No
385,578,NOR,2000,No Allegations,No
385,578,NOR,2001,No Allegations,No
385,578,NOR,2002,No Allegations,No
385,578,NOR,2003,No Allegations,No
385,578,NOR,2004,No Allegations,No
385,578,NOR,2005,No Allegations,No
390,208,DNK,1995,"Allegation, No LoT",No
390,208,DNK,1996,Several,No
390,208,DNK,1997,No Allegations,No
390,208,DNK,1998,No Allegations,No
390,208,DNK,1999,No Allegations,No
390,208,DNK,2000,No Allegations,No
390,208,DNK,2001,Widespread,No
390,208,DNK,2002,No Allegations,No
390,208,DNK,2003,No Allegations,No
390,208,DNK,2004,No Allegations,No
390,208,DNK,2005,"Allegation, No LoT",No
404,624,GNB,1995,No Allegations,No
404,624,GNB,1996,Routinely,No
404,624,GNB,1997,Systematic,No
404,624,GNB,1998,-777,No
404,624,GNB,1999,No Allegations,No
404,624,GNB,2000,No Allegations,No
404,624,GNB,2001,Systematic,No
404,624,GNB,2002,No Allegations,No
404,624,GNB,2003,No Allegations,No
404,624,GNB,2004,No Allegations,No
404,624,GNB,2005,No Allegations,No
420,270,GMB,1995,"Allegation, No LoT",No
420,270,GMB,1996,"Allegation, No LoT",No
420,270,GMB,1997,Several,No
420,270,GMB,1998,"Allegation, No LoT",No
420,270,GMB,1999,"Allegation, No LoT",No
420,270,GMB,2000,"Allegation, No LoT",No
420,270,GMB,2001,"Allegation, No LoT",No
420,270,GMB,2002,No Allegations,No
420,270,GMB,2003,"Allegation, No LoT",No
420,270,GMB,2004,No Allegations,No
420,270,GMB,2005,No Allegations,No
432,466,MLI,1995,Several,No
432,466,MLI,1996,No Allegations,No
432,466,MLI,1997,Systematic,No
432,466,MLI,1998,No Allegations,No
432,466,MLI,1999,No Allegations,No
432,466,MLI,2000,No Allegations,No
432,466,MLI,2001,No Allegations,No
432,466,MLI,2002,No Allegations,No
432,466,MLI,2003,No Allegations,No
432,466,MLI,2004,No Allegations,No
432,466,MLI,2005,No Allegations,No
433,686,SEN,1995,Systematic,No
433,686,SEN,1996,Systematic,No
433,686,SEN,1997,Widespread,No
433,686,SEN,1998,Systematic,No
433,686,SEN,1999,Systematic,No
433,686,SEN,2000,Widespread,No
433,686,SEN,2001,Systematic,No
433,686,SEN,2002,Systematic,No
433,686,SEN,2003,Several,No
433,686,SEN,2004,No Allegations,No
433,686,SEN,2005,No Allegations,No
434,204,BEN,1995,No Allegations,No
434,204,BEN,1996,No Allegations,No
434,204,BEN,1997,No Allegations,No
434,204,BEN,1998,No Allegations,No
434,204,BEN,1999,No Allegations,No
434,204,BEN,2000,No Allegations,No
434,204,BEN,2001,No Allegations,No
434,204,BEN,2002,No Allegations,No
434,204,BEN,2003,No Allegations,No
434,204,BEN,2004,No Allegations,No
434,204,BEN,2005,No Allegations,No
435,478,MRT,1995,No Allegations,No
435,478,MRT,1996,No Allegations,No
435,478,MRT,1997,"Allegation, No LoT",No
435,478,MRT,1998,No Allegations,No
435,478,MRT,1999,No Allegations,No
435,478,MRT,2000,Several,No
435,478,MRT,2001,No Allegations,No
435,478,MRT,2002,Routinely,No
435,478,MRT,2003,Infrequent,No
435,478,MRT,2004,No Allegations,No
435,478,MRT,2005,Systematic,No
436,562,NER,1995,No Allegations,No
436,562,NER,1996,Systematic,No
436,562,NER,1997,Systematic,No
436,562,NER,1998,Systematic,No
